Route									Layout				Trang						Chức năng chính
/login, /register, /forgot-password		AuthLayout			Auth pages					Đăng nhập, đăng ký
/lobby									MainLayout			Lobby						Danh sách phòng, tạo phòng
/rooms/*								MainLayout			RoomList / CreateRoom		Quản lý & tạo phòng
/game/:id								GameLayout			GameRoom					Chơi realtime P2P
/game/bot								GameLayout			PlayVsBot					Chơi với AI
/friends								MainLayout			Friends						Quản lý bạn bè
/chat/:id								MainLayout			PrivateChat					Chat riêng
/profile								MainLayout			Profile						Thông tin người chơi
/leaderboard							MainLayout			Leaderboard					Bảng xếp hạng
/settings								MainLayout			Settings					Cài đặt cá nhân
